25-Dec-11,MILITARY WIVES/GARETH MALONE,WHEREVER YOU ARE
25-Dec-11,CAST OF THE ONLY WAY IS ESSEX,LAST CHRISTMAS
25-Dec-11,WHAM,LAST CHRISTMAS
25-Dec-11,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
25-Dec-11,CHRIS REA,DRIVING HOME FOR CHRISTMAS
25-Dec-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
25-Dec-11,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
25-Dec-11,JASON DERULO,FIGHT FOR YOU
25-Dec-11,SLADE,MERRY XMAS EVERYBODY
18-Dec-11,LITTLE MIX,CANNONBALL
18-Dec-11,COLDPLAY,PARADISE
18-Dec-11,OLLY MURS,DANCE WITH ME TONIGHT
18-Dec-11,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
18-Dec-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
18-Dec-11,FLO RIDA,GOOD FEELING
18-Dec-11,AVICII,LEVELS
18-Dec-11,LEONA LEWIS,HURT
18-Dec-11,ED SHEERAN,LEGO HOUSE
18-Dec-11,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
18-Dec-11,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
18-Dec-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
18-Dec-11,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK
18-Dec-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
18-Dec-11,DRAKE FT RIHANNA,TAKE CARE
18-Dec-11,LMFAO,SEXY AND I KNOW IT
18-Dec-11,X FACTOR FINALISTS 2011,WISHING ON A STAR
18-Dec-11,RIZZLE KICKS,MAMA DO THE HUMP
18-Dec-11,DAMIEN RICE,CANNONBALL
18-Dec-11,KATY PERRY,THE ONE THAT GOT AWAY
18-Dec-11,JESSIE J,WHO YOU ARE
18-Dec-11,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
18-Dec-11,BEYONCE,LOVE ON TOP
18-Dec-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
18-Dec-11,JUSTIN BIEBER,MISTLETOE
18-Dec-11,BRUNO MARS,IT WILL RAIN
18-Dec-11,EN VOGUE,DON'T LET GO (LOVE)
18-Dec-11,WHAM,LAST CHRISTMAS
18-Dec-11,LADY GAGA,MARRY THE NIGHT
18-Dec-11,JASON DERULO,FIGHT FOR YOU
18-Dec-11,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
18-Dec-11,CHRISTINA PERRI,JAR OF HEARTS
18-Dec-11,AMY WINEHOUSE,OUR DAY WILL COME
18-Dec-11,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
18-Dec-11,RIHANNA,YOU DA ONE
18-Dec-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
18-Dec-11,SLADE,MERRY XMAS EVERYBODY
18-Dec-11,EXAMPLE,MIDNIGHT RUN
18-Dec-11,SWAY,STILL SPEEDIN'
18-Dec-11,LANA DEL REY,VIDEO GAMES
11-Dec-11,OLLY MURS,DANCE WITH ME TONIGHT
11-Dec-11,X FACTOR FINALISTS 2011,WISHING ON A STAR
11-Dec-11,LLOYD FT ANDRE 3000/LIL WAYNE,DEDICATION TO MY EX (MISS THAT)
11-Dec-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
11-Dec-11,FLO RIDA,GOOD FEELING
11-Dec-11,T-PAIN/WIZ KHALIFA/LILY ALLEN,5 O'CLOCK
11-Dec-11,COLDPLAY,PARADISE
11-Dec-11,AVICII,LEVELS
11-Dec-11,JESSIE J,WHO YOU ARE
11-Dec-11,ED SHEERAN,LEGO HOUSE
11-Dec-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
11-Dec-11,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
11-Dec-11,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
11-Dec-11,DRAKE FT RIHANNA,TAKE CARE
11-Dec-11,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK
11-Dec-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
11-Dec-11,LMFAO,SEXY AND I KNOW IT
11-Dec-11,JASON DERULO,FIGHT FOR YOU
11-Dec-11,SWAY,STILL SPEEDIN'
11-Dec-11,LADY GAGA,MARRY THE NIGHT
11-Dec-11,BRUNO MARS,IT WILL RAIN
11-Dec-11,BEYONCE,LOVE ON TOP
11-Dec-11,JUSTIN BIEBER,MISTLETOE
11-Dec-11,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
11-Dec-11,KATY PERRY,THE ONE THAT GOT AWAY
11-Dec-11,WHAM,LAST CHRISTMAS
11-Dec-11,CHRISTINA PERRI,JAR OF HEARTS
11-Dec-11,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
11-Dec-11,AMY WINEHOUSE,OUR DAY WILL COME
11-Dec-11,EXAMPLE,MIDNIGHT RUN
11-Dec-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
11-Dec-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
11-Dec-11,SLADE,MERRY XMAS EVERYBODY
11-Dec-11,BAND AID,DO THEY KNOW IT'S CHRISTMAS
11-Dec-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
11-Dec-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
11-Dec-11,DAVID GUETTA FT USHER,WITHOUT YOU
11-Dec-11,LANA DEL REY,VIDEO GAMES
11-Dec-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
11-Dec-11,ED SHEERAN,THE A TEAM
04-Dec-11,X FACTOR FINALISTS 2011,WISHING ON A STAR
04-Dec-11,OLLY MURS,DANCE WITH ME TONIGHT
04-Dec-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
04-Dec-11,FLO RIDA,GOOD FEELING
04-Dec-11,AVICII,LEVELS
04-Dec-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
04-Dec-11,ED SHEERAN,LEGO HOUSE
04-Dec-11,JESSIE J,WHO YOU ARE
04-Dec-11,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
04-Dec-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
04-Dec-11,DRAKE FT RIHANNA,TAKE CARE
04-Dec-11,COLDPLAY,PARADISE
04-Dec-11,LMFAO,SEXY AND I KNOW IT
04-Dec-11,BRUNO MARS,IT WILL RAIN
04-Dec-11,JASON DERULO,FIGHT FOR YOU
04-Dec-11,LADY GAGA,MARRY THE NIGHT
04-Dec-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
04-Dec-11,CHRISTINA PERRI,JAR OF HEARTS
04-Dec-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
04-Dec-11,DAVID GUETTA FT USHER,WITHOUT YOU
04-Dec-11,EMELI SANDE,DADDY
04-Dec-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
04-Dec-11,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK
04-Dec-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
04-Dec-11,ONE DIRECTION,GOTTA BE YOU
04-Dec-11,KATY PERRY,THE ONE THAT GOT AWAY
04-Dec-11,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
04-Dec-11,BEYONCE,LOVE ON TOP
04-Dec-11,KELLY CLARKSON,MR KNOW IT ALL
04-Dec-11,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
04-Dec-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
04-Dec-11,LANA DEL REY,VIDEO GAMES
04-Dec-11,FLORENCE & THE MACHINE,SHAKE IT OUT
04-Dec-11,ED SHEERAN,THE A TEAM
04-Dec-11,LOICK ESSIEN,ME WITHOUT YOU
04-Dec-11,EXAMPLE,MIDNIGHT RUN
04-Dec-11,JLS,TAKE A CHANCE ON ME
04-Dec-11,CHRISTINA PERRI,A THOUSAND YEARS
04-Dec-11,BRUNO MARS,MARRY YOU
04-Dec-11,RIHANNA,YOU DA ONE
27-Nov-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
27-Nov-11,OLLY MURS,DANCE WITH ME TONIGHT
27-Nov-11,FLO RIDA,GOOD FEELING
27-Nov-11,AVICII,LEVELS
27-Nov-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
27-Nov-11,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
27-Nov-11,ED SHEERAN,LEGO HOUSE
27-Nov-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
27-Nov-11,DRAKE FT RIHANNA,TAKE CARE
27-Nov-11,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
27-Nov-11,COLDPLAY,PARADISE
27-Nov-11,CHRISTINA PERRI,JAR OF HEARTS
27-Nov-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
27-Nov-11,DAVID GUETTA FT USHER,WITHOUT YOU
27-Nov-11,BRUNO MARS,IT WILL RAIN
27-Nov-11,ONE DIRECTION,GOTTA BE YOU
27-Nov-11,LMFAO,SEXY AND I KNOW IT
27-Nov-11,LADY GAGA,MARRY THE NIGHT
27-Nov-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
27-Nov-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
27-Nov-11,KELLY CLARKSON,MR KNOW IT ALL
27-Nov-11,JLS,TAKE A CHANCE ON ME
27-Nov-11,EN VOGUE,DON'T LET GO (LOVE)
27-Nov-11,LANA DEL REY,VIDEO GAMES
27-Nov-11,RIHANNA FT JAY-Z,TALK THAT TALK
27-Nov-11,CHER LLOYD FT MIKE POSNER,WITH UR LOVE
27-Nov-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
27-Nov-11,SATURDAYS,MY HEART TAKES OVER
27-Nov-11,LOICK ESSIEN,ME WITHOUT YOU
27-Nov-11,ED SHEERAN,THE A TEAM
27-Nov-11,KATY PERRY,THE ONE THAT GOT AWAY
27-Nov-11,CHRISTINA PERRI,A THOUSAND YEARS
27-Nov-11,FLORENCE & THE MACHINE,SHAKE IT OUT
27-Nov-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
27-Nov-11,BRUNO MARS,MARRY YOU
27-Nov-11,WANTED,LIGHTNING
27-Nov-11,JESSIE J,WHO YOU ARE
27-Nov-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
27-Nov-11,RIHANNA,YOU DA ONE
27-Nov-11,LADY GAGA,THE EDGE OF GLORY
20-Nov-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
20-Nov-11,FLO RIDA,GOOD FEELING
20-Nov-11,ONE DIRECTION,GOTTA BE YOU
20-Nov-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
20-Nov-11,ED SHEERAN,LEGO HOUSE
20-Nov-11,DAVID GUETTA FT USHER,WITHOUT YOU
20-Nov-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
20-Nov-11,JLS,TAKE A CHANCE ON ME
20-Nov-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
20-Nov-11,CHRISTINA PERRI,JAR OF HEARTS
20-Nov-11,LMFAO,SEXY AND I KNOW IT
20-Nov-11,DRAKE FT RIHANNA,TAKE CARE
20-Nov-11,COLDPLAY,PARADISE
20-Nov-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
20-Nov-11,SATURDAYS,MY HEART TAKES OVER
20-Nov-11,CHER LLOYD FT MIKE POSNER,WITH UR LOVE
20-Nov-11,BRUNO MARS,IT WILL RAIN
20-Nov-11,LADY GAGA,MARRY THE NIGHT
20-Nov-11,LANA DEL REY,VIDEO GAMES
20-Nov-11,PIXIE LOTT FT PUSHA T,WHAT DO YOU TAKE ME FOR
20-Nov-11,KELLY CLARKSON,MR KNOW IT ALL
20-Nov-11,LOICK ESSIEN,ME WITHOUT YOU
20-Nov-11,FLORENCE & THE MACHINE,SHAKE IT OUT
20-Nov-11,COLLECTIVE,TEARDROP
20-Nov-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
20-Nov-11,ED SHEERAN,THE A TEAM
20-Nov-11,WANTED,LIGHTNING
20-Nov-11,JESSIE J,WHO YOU ARE
20-Nov-11,LUCENZO & QWOTE,DANZA KUDURO
20-Nov-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
20-Nov-11,MAVERICK SABRE,I NEED
20-Nov-11,WESTLIFE,LIGHTHOUSE
20-Nov-11,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
20-Nov-11,LADY GAGA,THE EDGE OF GLORY
20-Nov-11,GLEE CAST,RUMOUR HAS IT/SOMEONE LIKE YOU
20-Nov-11,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
20-Nov-11,KATY PERRY,THE ONE THAT GOT AWAY
20-Nov-11,ELBOW,ONE DAY LIKE THIS
20-Nov-11,CHRISTINA PERRI,A THOUSAND YEARS
20-Nov-11,SNOW PATROL,THIS ISN'T EVERYTHING YOU ARE
13-Nov-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
13-Nov-11,JLS,TAKE A CHANCE ON ME
13-Nov-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
13-Nov-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
13-Nov-11,ED SHEERAN,LEGO HOUSE
13-Nov-11,CHER LLOYD FT MIKE POSNER,WITH UR LOVE
13-Nov-11,DAVID GUETTA FT USHER,WITHOUT YOU
13-Nov-11,LMFAO,SEXY AND I KNOW IT
13-Nov-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
13-Nov-11,PIXIE LOTT FT PUSHA T,WHAT DO YOU TAKE ME FOR
13-Nov-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
13-Nov-11,FLORENCE & THE MACHINE,SHAKE IT OUT
13-Nov-11,LANA DEL REY,VIDEO GAMES
13-Nov-11,LOICK ESSIEN,ME WITHOUT YOU
13-Nov-11,KELLY CLARKSON,MR KNOW IT ALL
13-Nov-11,BRUNO MARS,IT WILL RAIN
13-Nov-11,CHRISTINA PERRI,JAR OF HEARTS
13-Nov-11,MAVERICK SABRE,I NEED
13-Nov-11,WANTED,LIGHTNING
13-Nov-11,COLDPLAY,PARADISE
13-Nov-11,LUCENZO & QWOTE,DANZA KUDURO
13-Nov-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
13-Nov-11,RIZZLE KICKS,WHEN I WAS A YOUNGSTER
13-Nov-11,TINCHY STRYDER/CALVIN HARRIS,OFF THE RECORD
13-Nov-11,AFROJACK & STEVE AOKI,NO BEEF
13-Nov-11,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
13-Nov-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
13-Nov-11,ED SHEERAN,THE A TEAM
13-Nov-11,NICOLE SCHERZINGER,TRY WITH ME
13-Nov-11,ADELE,SET FIRE TO THE RAIN
13-Nov-11,BRUNO MARS,MARRY YOU
13-Nov-11,COBRA STARSHIP FT SABI,YOU MAKE ME FEEL
13-Nov-11,CALLING,WHEREVER YOU WILL GO
13-Nov-11,BIRDY,PEOPLE HELP THE PEOPLE
13-Nov-11,NICKI MINAJ,SUPER BASS
13-Nov-11,GOO GOO DOLLS,IRIS
13-Nov-11,LADY GAGA,THE EDGE OF GLORY
13-Nov-11,DAPPY,NO REGRETS
13-Nov-11,SAK NOEL,LOCA PEOPLE
13-Nov-11,JAMES MORRISON,I WON'T LET YOU GO
06-Nov-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
06-Nov-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
06-Nov-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
06-Nov-11,CHER LLOYD FT MIKE POSNER,WITH UR LOVE
06-Nov-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
06-Nov-11,ED SHEERAN,LEGO HOUSE
06-Nov-11,LMFAO,SEXY AND I KNOW IT
06-Nov-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
06-Nov-11,KELLY CLARKSON,MR KNOW IT ALL
06-Nov-11,DAVID GUETTA FT USHER,WITHOUT YOU
06-Nov-11,WANTED,LIGHTNING
06-Nov-11,LANA DEL REY,VIDEO GAMES
06-Nov-11,LUCENZO & QWOTE,DANZA KUDURO
06-Nov-11,CHRISTINA PERRI,JAR OF HEARTS
06-Nov-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
06-Nov-11,RIZZLE KICKS,WHEN I WAS A YOUNGSTER
06-Nov-11,COLDPLAY,PARADISE
06-Nov-11,NICOLE SCHERZINGER,TRY WITH ME
06-Nov-11,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
06-Nov-11,COBRA STARSHIP FT SABI,YOU MAKE ME FEEL
06-Nov-11,ADELE,SET FIRE TO THE RAIN
06-Nov-11,ED SHEERAN,THE A TEAM
06-Nov-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
06-Nov-11,SAK NOEL,LOCA PEOPLE
06-Nov-11,DAPPY,NO REGRETS
06-Nov-11,FLORENCE & THE MACHINE,SHAKE IT OUT
06-Nov-11,JAMES MORRISON,I WON'T LET YOU GO
06-Nov-11,CALLING,WHEREVER YOU WILL GO
06-Nov-11,BRUNO MARS,RUNAWAY BABY
06-Nov-11,BRUNO MARS,MARRY YOU
06-Nov-11,NOEL GALLAGHER'S HIGH FLYING,AKA WHAT A LIFE
06-Nov-11,NICKI MINAJ FT RIHANNA,FLY
06-Nov-11,BIRDY,PEOPLE HELP THE PEOPLE
06-Nov-11,GOO GOO DOLLS,IRIS
06-Nov-11,BEYONCE,COUNTDOWN
06-Nov-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
06-Nov-11,PIXIE LOTT,ALL ABOUT TONIGHT
06-Nov-11,DELILAH,GO
06-Nov-11,NICKI MINAJ,SUPER BASS
06-Nov-11,KATY PERRY FT KANYE WEST,ET
30-Oct-11,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
30-Oct-11,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
30-Oct-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
30-Oct-11,KELLY CLARKSON,MR KNOW IT ALL
30-Oct-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
30-Oct-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
30-Oct-11,LMFAO,SEXY AND I KNOW IT
30-Oct-11,RIZZLE KICKS,WHEN I WAS A YOUNGSTER
30-Oct-11,WANTED,LIGHTNING
30-Oct-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
30-Oct-11,CHRISTINA PERRI,JAR OF HEARTS
30-Oct-11,ED SHEERAN,LEGO HOUSE
30-Oct-11,DAVID GUETTA FT USHER,WITHOUT YOU
30-Oct-11,COLDPLAY,PARADISE
30-Oct-11,LANA DEL REY,VIDEO GAMES
30-Oct-11,COBRA STARSHIP FT SABI,YOU MAKE ME FEEL
30-Oct-11,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
30-Oct-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
30-Oct-11,BRUNO MARS,RUNAWAY BABY
30-Oct-11,ED SHEERAN,THE A TEAM
30-Oct-11,SAK NOEL,LOCA PEOPLE
30-Oct-11,NOEL GALLAGHER'S HIGH FLYING,AKA WHAT A LIFE
30-Oct-11,DAPPY,NO REGRETS
30-Oct-11,BRUNO MARS,MARRY YOU
30-Oct-11,NICKI MINAJ FT RIHANNA,FLY
30-Oct-11,JAMES MORRISON,I WON'T LET YOU GO
30-Oct-11,CALVIN HARRIS,FEEL SO CLOSE
30-Oct-11,GOO GOO DOLLS,IRIS
30-Oct-11,CALLING,WHEREVER YOU WILL GO
30-Oct-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
30-Oct-11,NICKI MINAJ,SUPER BASS
30-Oct-11,DELILAH,GO
30-Oct-11,COLDPLAY & RIHANNA,PRINCESS OF CHINA
30-Oct-11,PIXIE LOTT,ALL ABOUT TONIGHT
30-Oct-11,JASON DERULO,IT GIRL
30-Oct-11,ADELE,SET FIRE TO THE RAIN
30-Oct-11,BAD MEETS EVIL FT BRUNO MARS,LIGHTERS
30-Oct-11,NERO,CRUSH ON YOU
30-Oct-11,BEYONCE,COUNTDOWN
30-Oct-11,RIHANNA,CHEERS (DRINK TO THAT)
23-Oct-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
23-Oct-11,WANTED,LIGHTNING
23-Oct-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
23-Oct-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
23-Oct-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
23-Oct-11,KELLY CLARKSON,MR KNOW IT ALL
23-Oct-11,CHRISTINA PERRI,JAR OF HEARTS
23-Oct-11,LMFAO,SEXY AND I KNOW IT
23-Oct-11,LANA DEL REY,VIDEO GAMES
23-Oct-11,DAVID GUETTA FT USHER,WITHOUT YOU
23-Oct-11,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
23-Oct-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
23-Oct-11,SAK NOEL,LOCA PEOPLE
23-Oct-11,ED SHEERAN,THE A TEAM
23-Oct-11,DAPPY,NO REGRETS
23-Oct-11,CALLING,WHEREVER YOU WILL GO
23-Oct-11,NICKI MINAJ FT RIHANNA,FLY
23-Oct-11,ED SHEERAN,LEGO HOUSE
23-Oct-11,CALVIN HARRIS,FEEL SO CLOSE
23-Oct-11,JAMES MORRISON,I WON'T LET YOU GO
23-Oct-11,JUSTIN BIEBER,MISTLETOE
23-Oct-11,KATY PERRY,THE ONE THAT GOT AWAY
23-Oct-11,MATT CARDLE,RUN FOR YOUR LIFE
23-Oct-11,NOEL GALLAGHER'S HIGH FLYING,AKA WHAT A LIFE
23-Oct-11,DELILAH,GO
23-Oct-11,GOO GOO DOLLS,IRIS
23-Oct-11,JASON DERULO,IT GIRL
23-Oct-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
23-Oct-11,BEYONCE,BEST THING I NEVER HAD
23-Oct-11,BRUNO MARS,MARRY YOU
23-Oct-11,NICKI MINAJ,SUPER BASS
23-Oct-11,NERO,CRUSH ON YOU
23-Oct-11,PIXIE LOTT,ALL ABOUT TONIGHT
23-Oct-11,BAD MEETS EVIL FT BRUNO MARS,LIGHTERS
23-Oct-11,RIHANNA,CHEERS (DRINK TO THAT)
23-Oct-11,KATY PERRY,LAST FRIDAY NIGHT (T.G.I.F.)
23-Oct-11,EXAMPLE VS LAIDBACK LUKE,NATURAL DISASTER
23-Oct-11,ADELE,SET FIRE TO THE RAIN
23-Oct-11,LADY GAGA,YOU AND I
23-Oct-11,DAVID GUETTA/CRUZ/LUDACRIS,LITTLE BAD GIRL
16-Oct-11,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
16-Oct-11,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
16-Oct-11,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
16-Oct-11,CHRISTINA PERRI,JAR OF HEARTS
16-Oct-11,LMFAO,SEXY AND I KNOW IT
16-Oct-11,MATT CARDLE,RUN FOR YOUR LIFE
16-Oct-11,CHARLENE SORAIA,WHEREVER YOU WILL GO
16-Oct-11,SAK NOEL,LOCA PEOPLE
16-Oct-11,ED SHEERAN,THE A TEAM
16-Oct-11,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
16-Oct-11,GOO GOO DOLLS,IRIS
16-Oct-11,DAPPY,NO REGRETS
16-Oct-11,JASON DERULO,IT GIRL
16-Oct-11,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
16-Oct-11,JAMES MORRISON,I WON'T LET YOU GO
16-Oct-11,DAVID GUETTA FT USHER,WITHOUT YOU
16-Oct-11,CALVIN HARRIS,FEEL SO CLOSE
16-Oct-11,DELILAH,GO
16-Oct-11,NICKI MINAJ FT RIHANNA,FLY
16-Oct-11,BAD MEETS EVIL FT BRUNO MARS,LIGHTERS
16-Oct-11,NICKI MINAJ,SUPER BASS
16-Oct-11,PIXIE LOTT,ALL ABOUT TONIGHT
16-Oct-11,LADY GAGA,YOU AND I
16-Oct-11,BRUNO MARS,MARRY YOU
16-Oct-11,CALLING,WHEREVER YOU WILL GO
16-Oct-11,RIHANNA,CHEERS (DRINK TO THAT)
16-Oct-11,BEYONCE,BEST THING I NEVER HAD
16-Oct-11,KATY PERRY,LAST FRIDAY NIGHT (T.G.I.F.)
16-Oct-11,ADELE,SET FIRE TO THE RAIN
16-Oct-11,ED SHEERAN,LEGO HOUSE
16-Oct-11,SATURDAYS,ALL FIRED UP
16-Oct-11,WILL YOUNG,JEALOUSY
16-Oct-11,ADELE,SOMEONE LIKE YOU
16-Oct-11,LADY GAGA,THE EDGE OF GLORY
16-Oct-11,RIZZLE KICKS,DOWN WITH THE TRUMPETS
16-Oct-11,DAVID GUETTA/CRUZ/LUDACRIS,LITTLE BAD GIRL
